Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,Location,Postal Code
Emlyn Road,2700000,House,2685,5,5,Stamford Brook,W12 9TD
Berrymede Road,1150000,House,1301,4,4,Chiswick,W4 5JD
Lonsdale Road,2475000,House,2406,5,5,Barnes,SW13 9DA
Tyneham Road,799950,House,766,2,2,Battersea,SW11 5XR
Eaton Square,2950000,Flat / Apartment,1181,2,2,Belgravia,SW1W 9DF
Hazel Lane,2500000,House,4420,6,6,Richmond,TW10 7AP
New Road,950000,House,1397,3,3,Richmond,TW10 7HY
Southwold Mansions,625000,Flat / Apartment,693,2,2, Maida Vale,W9 2LF
Clarendon Court,935000,Flat / Apartment,829,2,2,33 Maida Vale,W9 1AJ
Elrington Road,1650000,House,2048,4,4,Hackney,E8 3BJ
Waldeck Road,525000,New development,666,1,1,Ealing,W13 8LY
Rookery Hill,1750000,House,3184,4,4,Ashtead,KT21 1EG
Pinnacle House,1500000,Flat / Apartment,1438,3,3, Juniper Drive,SW18 1JE
Eaton Square,3750000,Flat / Apartment,1550,2,2,Belgravia,SW1W 9BG
Petersham Road,3250000,House,2989,4,4,Richmond,TW10 7AH
Eastfields Avenue,895000,Flat / Apartment,1039,2,2, Putney,SW18 1FU
Barnard Mews,650000,Duplex,890,2,2, Battersea,SW11 1QU
Alderside Apartments,550000,New development,547,1,1, 35 Salusbury Road,NW6 6BF
The Watergardens,500000,Flat / Apartment,1008,3,3, Woodford Green,IG8 0GD
Buckingham Road,1550000,House,1378,3,3,De Beauvoir,N1 4HY
Kings College Court,4950000,New development,3330,3,3,55 Primrose Hill Road,NW3 3EA
Kings College Court,2850000,Flat / Apartment,1752,2,2,55 Primrose Hill Road,NW3 3EA
Greensward House,2250000,Flat / Apartment,2557,3,3, Fulham,SW6 2TG
Ternary Place,595000,New development,807,2,2,North Ealing,W5 3HJ
Wayneflete Tower Avenue,3300000,House,6309,5,5,Esher,KT10 8QG
Limehouse Wharf,1350000,Flat / Apartment,2264,2,2, Canary Wharf,E14 8BP
Lime Quarter,545000,New development,773,2,2,Bow,E3 3PJ
Leythe Road,1195000,House,1668,4,4,Acton,W3 8AW
Carlton House,822500,New development,869,2,2, Putney,SW15 2BS
Parliament View Apartments,1345000,Flat / Apartment,1030,3,3,1 Albert Embankment,SE1 7XL
The Tower,1400000,Flat / Apartment,1145,2,2, Vauxhall,SW8 2BW
Peninsula Heights,1750000,Flat / Apartment,1232,2,2,93 Albert Embankment,SE1 7TY
Liverpool Road,2895000,House,3660,6,6,Kingston upon Thames,KT2 7SX
Chester Close North,2350000,House,1844,4,4,Regent's Park,NW1 4JE
Elm Tree Court,1075000,Flat / Apartment,1142,3,3,Elm Tree Road,NW8 9JT
Green Street,2250000,Flat / Apartment,1348,2,2,Mayfair,W1K 6RG
Northstand Apartments,699950,Flat / Apartment,787,2,2,Highbury Stadium Square,N5 1FN
Highbury Hill,1425000,House,1761,3,3,Highbury,N5 1AU
Reliance Wharf,435000,Flat / Apartment,527,1,1,Islington,N1 5ET
Ternary Place,645000,New development,904,2,2, Ealing,W5 3HJ
Pavilion Park,995000,New development,1681,3,3, East Molesey,KT8 9DX
Sheen Common Drive,5500000,House,5453,6,6,Richmond,TW10 5BN
Cambridge Road,1750000,House,1891,5,5,Barnes,SW13 0PG
Mirabel Road,725000,Flat / Apartment,924,3,3,Fulham,SW6 7EH
Tyneham Road,850000,House,780,2,2,Battersea,SW11 5XR
Princes Road,2249000,House,2600,5,5,Wimbledon,SW19 8RB
Tritton House,525000,New development,558,1,1,3 Ryeland Boulevard,SW18 1UF
Gore Road,370000,Flat / Apartment,400,1,1,South Hackney,E9 7HW
Calvin Street,2500000,Flat / Apartment,2132,2,2,Spitalfields,E1 6NW
Hillside Rise,700000,Bungalow,1301,3,3,Northwood,HA6 1RR
Delaware Mansions,715000,Flat / Apartment,764,2,2, Maida Vale,W9 2LL
Carlton Mansions,985000,Flat / Apartment,978,2,2, Maida Vale,W9 1NR
Great Portland Street,4850000,Penthouse,1518,3,3,Fitzrovia,W1W 7LS
The Uplands,1695000,House,3683,5,5,Loughton,IG10 1NH
High Silver,1095000,House,1728,4,4,Loughton,IG10 4EL
Monkhams Avenue,1325000,House,2659,5,5,Woodford Green,IG8 0ER
Buckingham Road,699950,House,1255,1,1,Islington,N1 4JA
Bromyard House,350000,Flat / Apartment,420,1,1, Acton,W3 7FG
Claremont Drive,2000000,House,3556,6,6,Esher,KT10 9LU
Lynwood Road,1095000,House,2442,5,5,Thames Ditton,KT7 0DN
York Avenue,3250000,House,3467,6,6,East Sheen,SW14 7LQ
Landmark Place At Tower Bridge,2166000,New development,1236,2,2,Water Lane,EC3R 6EA
Junction House,480000,New development,577,1,1, Battersea,SW11 2NU
Elsham Road,825000,Flat / Apartment,869,2,2,Brook Green,W14 8HB
"Park Terrace, Warriner Gardens",2950000,New development,2768,4,4,Battersea,SW11 4XW
Southlands Drive,585000,Flat / Apartment,784,2,2,Wimbledon,SW19 5QF
Smith Terrace,2975000,House,2041,3,3,Chelsea,SW3 4DL
The Close,680000,House,1125,3,3,Richmond,TW9 4QW
Thornton Place,899000,New development,982,2,2,Clapham Common North Side,SW4 0AB
Shaftesbury,675000,House,1153,4,4,Loughton,IG10 1HN
Upshirebury Green,475000,House,890,2,2,Waltham Abbey,EN9 3SU
Coppice Row,1265000,House,2568,5,5, Epping,CM16 7DN
Stokesheath Road,3500000,House,11077,6,6,Oxshott,KT22 0PS
Kingsland Road,550000,Flat / Apartment,736,2,2,Hackney,E8 4EG
Phoenix Wharf,1150000,Flat / Apartment,1302,2,2, Limehouse,E14 8DQ
Lock Side Way,550000,New development,1023,2,2,Royal Albert Wharf,E16 2QJ
City Walk Apartments,690000,Flat / Apartment,753,2,2, Clerkenwell,EC1V 3RF
Worship Street,1175000,Flat / Apartment,949,2,2,Clerkenwell,EC2A 2AH
Thornton Avenue,2000000,House,2222,5,5,Chiswick,W4 1QG
Bishops Gate,1045000,New development,810,2,2, Fulham High Street,SW6 3LF
Yvon House,699950,Flat / Apartment,848,2,2, Battersea,SW11 4GA
Holden Street,900000,House,1223,3,3,Battersea,SW11 5UP
Matthews Street,875000,House,1061,3,3,Battersea,SW11 5AB
King Edwards Road,1695000,House,1938,4,4,South Hackney,E9 7SF
Lords View,845000,Flat / Apartment,960,2,2, St. John's Wood,NW8 7HL
Sovereign Mews,850000,House,1213,4,4, Hackney,E2 8ER
Eaton Square,3250000,Flat / Apartment,1509,1,1,Belgravia,SW1W 9DF
Egbert Street,1750000,Flat / Apartment,1239,3,3,Primrose Hill,NW1 8LJ
Heathside Close,1250000,House,1880,4,4,Moor Park,HA6 2EQ
Birchside Apartments,550000,New development,562,1,1, Queens Park,NW6 5FS
Wimpole Mews,1050000,Flat / Apartment,1309,3,3,Marylebone,W1G 8PD
Portman Mansions,1095000,Flat / Apartment,945,1,1, Marylebone,W1U 6NT
Upshirebury Green,1195000,House,2737,4,4,Waltham Abbey,EN9 3ST
Eldon Grove,1100000,Flat / Apartment,985,3,3,Hampstead,NW3 5PT
Frognal Lane,3000000,Flat / Apartment,2427,4,4,Hampstead,NW3 7DU
Pursers Cross Road,2150000,House,2416,5,5,Fulham,SW6 4QZ
Temple Sheen Road,1800000,House,2129,5,5,East Sheen,SW14 7RS
Weltje Road,2750000,House,3251,7,7,Ravenscourt Park,W6 9LT
Dewhurst Road,2520000,House,2638,5,5,Brook Green,W14 0ES
Lurline Gardens,700000,Flat / Apartment,875,2,2,Battersea,SW11 4DB
Orbel Street,1350000,House,1295,3,3,Battersea,SW11 3NX
Riverwalk,3450000,Flat / Apartment,1215,2,2, Westminster,SW1P 4FA
Bradstock Road,725000,Penthouse,1200,3,3,Hackney,E9 5BZ
Ashby Street,700000,Flat / Apartment,606,2,2,Clerkenwell,EC1V 0ED
Seward Street,695000,Flat / Apartment,796,2,2,Clerkenwell,EC1V 3PA
Moor Lane,1299000,Flat / Apartment,827,2,2,City Of London,EC2Y 9BA
Hans Road,5950000,Flat / Apartment,2817,3,3,Knightsbridge,SW3 1RW
Richmond Hill,595000,Flat / Apartment,786,2,2,Richmond,TW10 6QX
Onslow Avenue,2100000,House,2296,4,4,Richmond,TW10 6QB
Rotherwood Road,1475000,House,1894,4,4,Putney,SW15 1LA
Larpent Avenue,2950000,House,3336,7,7,Putney,SW15 6UU
Pall Mall,2250000,Flat / Apartment,1297,2,2,St James's,SW1Y 5JH
Connaught Avenue,2750000,House,4925,6,6,Loughton,IG10 4DS
Wollaton House,599950,Flat / Apartment,734,1,1, Islington,N1 0EY
Sandilands Road,850000,House,900,2,2,Fulham,SW6 2BD
Edenvale Street,825000,Flat / Apartment,1027,3,3,Fulham,SW6 2SF
Linver Road,1850000,House,1678,5,5,Fulham,SW6 3RB
Doulton House,1750000,Flat / Apartment,1390,3,3,11 Park Street,SW6 2FT
Lilyville Road,3150000,House,3100,5,5,Fulham,SW6 5DP
Second Avenue,599950,Flat / Apartment,1128,3,3,Acton,W3 7RX
St. Marys Road,1995000,House,3605,6,6, Surbiton,KT6 5EU
Ember Lane,1595000,House,3304,6,6,Esher,KT10 8DZ
Sheen Common Drive,2650000,House,2229,4,4,Richmond,TW10 5BN
Aberdeen Wharf,950000,Flat / Apartment,973,2,2,94 Wapping High Street,E1W 2ND
Bishops Gate,1050000,New development,817,2,2,82-88 Fulham High Street,SW6 3LF
Bishops Gate,695000,New development,678,2,2,82-88 Bishops Gate,SW6 3LF
Montem Terrace,3895000,New development,4453,6,6,35A Arterberry Road,SW20 8AG
Belvedere Heights,425000,Flat / Apartment,502,1,1, St. John's Wood,NW8 8HZ
Ashley Gardens,1300000,House,2484,4,4,Richmond,TW10 7BU
West Hill,439000,Flat / Apartment,670,2,2,Putney,SW15 2UF
Westbourne Park Road,4500000,House,2742,6,6,Notting Hill,W2 5PH
Ronalds Road,1500000,House,1327,4,4,Highbury,N5 1XB
Cloudesley Street,625000,Flat / Apartment,513,1,1,Islington,N1 0HX
Tottenham Road,499999,Flat / Apartment,700,1,1,De Beauvoir,N1 4BD
Wavendon Avenue,2250000,House,2389,5,5,Chiswick,W4 4NR
Castelnau,3250000,House,3098,5,5,Barnes,SW13 9ET
Television Centre,1395000,Flat / Apartment,981,2,2,101 Wood Lane,W12 7FT
Alexander Court,475000,Flat / Apartment,705,2,2,Wandsworth Common West Side,SW18 2EJ
Hotham Road,1250000,House,1810,3,3,Putney,SW15 1QJ
Danemere Street,1150000,House,1468,3,3,Putney,SW15 1LT
Meadowbank,625000,House,1213,4,4, Watford,WD19 4NP
Copperbeech Court,575000,Flat / Apartment,1092,2,2, Northwood,HA6 2YJ
Shelgate Road,1399000,House,1456,3,3,Battersea,SW11 1BQ
Pearson Square,4750000,Penthouse,1774,3,3,Fitzrovia,W1T 3BJ
Canonbury Lane,2275000,House,1969,4,4,Islington,N1 2AP
Lofting Road,599950,Flat / Apartment,657,2,2,Islington,N1 1ET
Palewell Park,1995000,House,2707,5,5,East Sheen,SW14 8JH
Osprey Court,850000,Flat / Apartment,655,1,1,Star Place,E1W 1AG
Paddenswick Road,3750000,House,3391,5,5,Ravenscourt Park,W6 0UA
Bollo Lane,995000,House,1423,5,5,Chiswick,W4 5LT
Devonshire Road,850000,House,1163,3,3,Chiswick,W4 2HD
Grove Court,2400000,Flat / Apartment,1898,4,4,Drayton Gardens,SW10 9QY
Kathleen Road,599950,Flat / Apartment,830,3,3,Battersea,SW11 2JR
Eamont Court,675000,Flat / Apartment,602,2,2, St. Johns Wood,NW8 7DG
Murray Street,735000,Flat / Apartment,953,2,2,Camden,NW1 9RE
Mapesbury Road,1300000,House,2547,5,5,Brondesbury,NW2 4HJ
Birds Hill Road,7500000,House,12526,7,7,Oxshott,KT22 0NJ
Hereford Square,7450000,House,3997,6,6,South Kensington,SW7 4TS
Wilton Place,8250000,House,3188,5,5,Belgravia,SW1X 8RL
College Cross,2395000,House,2212,4,4,Islington,N1 1PT
Northchurch Road,500000,Flat / Apartment,675,1,1,Islington,N1 3FL
Canonbury Park South,2550000,House,2241,5,5,Canonbury,N1 2JG
Upper Place,600000,New development,721,2,2, Clapton,E5 9BU
City Mills Apartments,590000,Flat / Apartment,702,2,2,Lee Street,E8 4FB
Eagle Mews,550000,House,674,2,2,Tottenham Road,N1 4ST
Brookville Road,1650000,House,1716,5,5, Fulham,SW6 7BH
Culmington Road,1250000,House,1700,4,4,Ealing,W13 9NB
Ravens Close,475000,Flat / Apartment,645,2,2,Surbiton,KT6 4QG
Pavilion Park,425000,New development,603,1,1, East Molesey,KT8 9DX
Liberty House,599000,Flat / Apartment,830,2,2,Ensign Street,E1 8JA
Cottenham Park Road,1350000,Flat / Apartment,1862,3,3,Wimbledon,SW20 0RZ
Craven Gardens,1225000,House,1681,4,4,Wimbledon,SW19 8LU
Southlands Drive,650000,Flat / Apartment,779,2,2,Wimbledon,SW19 5QH
Springfield Road,6950000,House,3911,6,6,St. John's Wood,NW8 0QN
Loudoun Road,4495000,House,2607,4,4,St. John's Wood,NW8 0LT
Norfolk Mansions,599950,Flat / Apartment,969,3,3, Putney,SW18 1NU
The Glass House,465000,Flat / Apartment,461,1,1, Putney,SW15 1PR
Kings Hill,1075000,House,2096,4,4,Loughton,IG10 1HY
The Pryors,1800000,Flat / Apartment,1405,3,3, Hampstead,NW3 1BS
Chiswick High Road,2050000,New development,2875,4,4,Chiswick,W4 5RG
Lonsdale Road,775000,Flat / Apartment,936,2,2,Barnes,SW13 9PY
Rosenau Road,2400000,House,2803,6,6,Battersea,SW11 4QX
Circle Gardens,825000,House,1388,3,3,Wimbledon,SW19 3JU
Queens Road,2250000,House,2946,4,4,Kingston upon Thames,KT2 7SN
Alma Road,1000000,House,1306,4,4,Wandsworth,SW18 1AH
Kennet House,350000,Flat / Apartment,670,2,2, Lisson Grove,NW8 8HB
Church Road,600000,House,1041,2,2,Northwood,HA6 1AR
Clarendon Road,3600000,House,1831,5,5,Notting Hill,W11 2HW
Cologne Road,765000,Duplex,992,2,2,St John's Hill,SW11 2AJ
Randolph Avenue,1675000,Flat / Apartment,1101,2,2,Little Venice,W9 1DW
Montagu Square,1375000,Flat / Apartment,1002,2,2,Marylebone,W1H 2LW
Harley Place,1350000,Mews,993,2,2,Marylebone,W1G 8QE
Canonbury Square,2500000,House,2537,6,6,Islington,N1 2AU
Tollington Way,575000,New development,840,2,2, London,N7 6RG
Compton Avenue,4650000,House,4653,7,7,Highgate,N6 4LH
New Road,4950000,House,7043,6,6,Esher,KT10 9PG
Pavilion Park,555000,New development,753,2,2, East Molesey,KT8 9DX
Lime Quarter,550000,New development,773,2,2,Bow,E3 3PJ
Marlborough Road,2700000,House,2953,7,7,Chiswick,W4 4ET
Chiswick Village,399950,Flat / Apartment,580,2,2,Gunnersbury,W4 3BY
Carlton House,595000,New development,545,1,1,Carlton Drive,SW15 2BS
Siddal Apartments,675000,Flat / Apartment,778,2,2, Elephant Park,SE17 1FQ
Darlaston Road,765000,New development,864,2,2,Wimbledon,SW19 4LF
St. Johns Wood Road,835000,Flat / Apartment,651,1,1,St. John's Wood,NW8 8RE
Sheen Road,1200000,House,1662,4,4,Richmond,TW9 1YJ
Portland Chambers,2395000,Flat / Apartment,1160,2,2, Fitzrovia,W1W 6RP
Devonshire Place Mews,3250000,House,1738,3,3,Marylebone,W1G 6DD
Chelsea Waterfront,2990000,New development,1451,3,3, Chelsea,SW10 0QH
Worple Street,1800000,House,4225,5,5,Mortlake,SW14 8HE
Vicarage Road,2300000,House,2800,6,6,East Sheen,SW14 8RU
The Madison,573000,New development,429,0,0,199 To 207 Marsh Wall,E14 9YT
Hatton Place,835000,Flat / Apartment,704,2,2,Clerkenwell,EC1N 8RU
Lonsdale Road,2200000,House,2354,5,5, Chiswick,W4 1ND
Queen Anne's Gate,2775000,Flat / Apartment,1711,3,3,St. James's,SW1H 9AA
Chapman Square,750000,Flat / Apartment,1076,3,3,Wimbledon,SW19 5QT
Melody Road,1425000,House,2173,5,5,Wandsworth,SW18 2QG
Northiam Street,380000,Flat / Apartment,420,1,1,South Hackney,E9 7HQ
Middlefield Close,899950,House,2915,5,5, Coulsdon,CR5 3NX
Fairfax Mews,2000000,House,2149,5,5,Putney,SW15 6FF
Nicholas Way,2995000,House,5517,7,7,Northwood,HA6 2TR
Althorp Road,1490000,House,1875,5,5,Bellevue Village,SW17 7ED
The Printworks,710000,New development,818,2,2, Crouch End,N8 9BU
Bishops Gate,915000,New development,810,2,2,82-88 Fulham High Street,SW6 3LF
Theberton Street,2000000,House,2078,4,4,Barnsbury,N1 0QY
Halton Road,425000,Flat / Apartment,495,1,1,Canonbury,N1 2EN
Hornsey Street,499950,Flat / Apartment,656,2,2,Lower Holloway,N7 8HE
Wentworth Mansions,1050000,Flat / Apartment,1186,3,3,Keats Grove,NW3 2RL
Hurlingham Square,1150000,House,1906,5,5, Fulham,SW6 3DZ
Landmark Place At Tower Bridge,1499995,New development,1142,2,2,Water Lane,EC3R 6EA
Esmond Road,550000,Flat / Apartment,853,2,2,Chiswick,W4 1JG
Elm Park Mansions,550000,Flat / Apartment,500,1,1,Park Walk,SW10 0AN
Archway Street,1050000,House,1261,3,3,Barnes,SW13 0AR
Gerard Road,2750000,House,2637,4,4,Barnes,SW13 9RG
Warriner Gardens,1785000,House,2061,5,5,Battersea,SW11 4DU
Vandon Court,450000,Studio,332,0,0, Westminster,SW1H 9HE
Selhurst Close,375000,Flat / Apartment,515,1,1,Wimbledon,SW19 6AY
Lowndes Square,5500000,Flat / Apartment,1973,3,3,Belgravia,SW1X 9JX
Mount Ararat Road,2850000,House,3008,5,5,Richmond,TW10 6PQ
Mount Ararat Road,2450000,House,2300,5,5,Richmond,TW10 6PH
Copse Wood Way,1600000,House,2071,4,4,Northwood,HA6 2TZ
Hale End Road,450000,Flat / Apartment,790,2,2,Woodford Green,IG8 9LL
Bishops Gate,2000000,New development,1688,4,4,82-88 Fulham High Street,SW6 3LF
Offord Road,1595000,House,1828,3,3,Barnsbury,N1 1PF
Walpole Court,600000,Flat / Apartment,780,2,2,27-33 Fairfax Road,NW6 4ES
Pavilion Park,545000,New development,767,2,2, East Molesey,KT8 9DX
Valetta Road,1050000,House,1355,4,4,Wendell Park,W3 7TQ
Hudson House,1385000,Flat / Apartment,990,3,3,Hortensia Road,SW10 0QR
Claremont Lodge,650000,Flat / Apartment,1106,2,2, Wimbledon,SW20 8UA
Albert Court,10950000,Flat / Apartment,3111,3,3,Prince Consort Road,SW7 2BH
Wimbledon Park Road,375000,Flat / Apartment,525,1,1,Putney,SW18 5SJ
Normanby Close,899000,House,1168,3,3,Putney,SW15 2RL
Sefton Street,995000,House,1055,3,3,Putney,SW15 1NA
Werter Road,1695000,House,2368,5,5,Putney,SW15 2LJ
Lockyer House,495000,Flat / Apartment,815,2,2, Putney,SW15 1EE
Ainger Road,775000,Flat / Apartment,665,2,2,Primrose Hill,NW3 3AR
The Drive,950000,House,2348,4,4,Northwood,HA6 1HW
Halland Way,1750000,House,4387,4,4,Northwood,HA6 2BY
Thornton Place,1150000,Flat / Apartment,1582,3,3,Clapham Common North Side,SW4 0AB
Sheldon Avenue,4400000,House,4102,5,5,Highgate,N6 4JS
Bartholomew Road,2300000,House,2362,5,5,Kentish Town,NW5 2AJ
Nevern Mansions,625000,Flat / Apartment,676,1,1,42 Warwick Road,SW5 9TJ
Chiswick High Road,525000,New development,581,1,1,Chiswick,W4 5RG
Marian Lodge,635000,Flat / Apartment,936,2,2, Wimbledon,SW20 8HJ
South Park Road,1550000,House,1884,4,4,Wimbledon,SW19 8SZ
Beacon Tower,1000000,Penthouse,1190,3,3, Wandsworth,SW18 4GN
Basil Mansions,5500000,Flat / Apartment,2497,3,3,Basil Street,SW3 1AP
Neville House,450000,Flat / Apartment,646,1,1,137 London Road,TW1 1EG
Rossway Drive,600000,House,1202,4,4,Bushey,WD23 3EW
Wendover Court,1325000,Flat / Apartment,779,2,2, Marylebone,W1U 7NX
Furze Field,6950000,New development,11177,6,6,Oxshott,KT22 0UR
Halliford Street,950000,Flat / Apartment,1023,2,2,Canonbury,N1 3EJ
Tollington Way,430000,New development,538,1,1, London,N7 6RG
Malthouse Court,700000,Flat / Apartment,1121,2,2, Brentford,TW8 0FR
Cairn Avenue,1150000,House,1580,4,4,Ealing,W5 5HX
Morton Apartments,730000,Penthouse,1127,3,3,Royal Albert Wharf,E16 2QJ
Knowsley Road,860000,House,1010,2,2,Battersea,SW11 5BL
The View,1250000,Flat / Apartment,960,2,2, Westminster,SW1E 5BA
Bangalore Street,1295000,House,1940,5,5,Putney,SW15 1QD
Ross Court,595000,Flat / Apartment,1452,3,3, Putney,SW15 3NY
Portland Chambers,3995000,New development,2694,3,3, Fitzrovia,W1W 6RP
Daleham Mews,3000000,House,2011,4,4,Belsize Park,NW3 5DB
Ringmer Avenue,2500000,House,2907,5,5,Fulham,SW6 5LW
Meadows House,6350000,Penthouse,4689,4,4, Fulham,SW6 2FQ
Manor Road South,1350000,House,2545,4,4,Esher,KT10 0PY
Deanhill Road,1175000,House,1263,3,3,East Sheen,SW14 7DF
Cupar Road,2100000,House,2360,4,4,Battersea,SW11 4JW
Ordish Apartments,745000,Flat / Apartment,1181,3,3,162 Gideon Road,SW11 5ET
Moreton Terrace,560000,Flat / Apartment,468,1,1,Pimlico,SW1V 2NS
Spencer Hill,2450000,House,3831,5,5,Wimbledon,SW19 4NY
Pepys Road,2295000,House,4569,5,5,Wimbledon,SW20 8NP
Dudley Road,2395000,House,2443,5,5,Wimbledon,SW19 8PN
Tannery House,1250000,Penthouse,1600,2,2, Spitalfields,E1 5AG
Gaumont Tower,850000,Flat / Apartment,1254,3,3, Dalston,E8 3BQ
River Lane,7500000,House,6863,5,5,Richmond,TW10 7AG
Townshend Terrace,1285000,House,1011,3,3,Richmond,TW9 1XJ
Roehampton Vale,795000,House,2472,5,5,Putney,SW15 3PG
Weldin Mews,835000,House,1297,3,3,Putney,SW18 1FT
Bishops Avenue,925000,Bungalow,1270,2,2,Northwood,HA6 3DD
Wildacres,1595000,House,3578,5,5,Northwood,HA6 3JD
Dorlcote Road,3500000,House,3709,7,7,Wandsworth,SW18 3RT
Chiltern Way,995000,House,1889,4,4,Woodford Green,IG8 0RQ
Monkhams Avenue,1195000,House,1720,4,4,Woodford Green,IG8 0HA
Ollards Grove,1395000,House,2427,5,5,Loughton,IG10 4DW
Cloudesley Place,1200000,House,1298,4,4,Barnsbury,N1 0JA
Remington Street,1050000,House,1206,2,2,Islington,N1 8DH
Carronade Court,500000,Flat / Apartment,794,2,2, Holloway,N7 8GP
Balls Pond Road,575000,Flat / Apartment,1034,2,2,De Beauvoir,N1 4BW
Annette Road,575000,Flat / Apartment,741,2,2,Holloway,N7 6PE
Southgate Court,449950,Flat / Apartment,759,3,3,Southgate Road,N1 3JR
Noel Road,2650000,House,2311,2,2,Islington,N1 8HA
Highbury Gardens,500000,Flat / Apartment,492,1,1,52 Holloway Road,N7 8BU
Lodge Mews,1050000,House,1248,4,4,Aberdeen Park,N5 2BD
Wenlock Road,629000,Flat / Apartment,640,2,2,Islington,N1 7SL
Heathside,499950,Flat / Apartment,690,2,2, Golders Green,NW11 7SB
Walham Yard,1690000,House,2099,4,4,Fulham,SW6 1JA
The Mount,1650000,House,2644,4,4,Esher,KT10 8LQ
The Mount,1995000,House,5982,5,5,Esher,KT10 8LQ
Cornwall Gardens,1450000,Flat / Apartment,963,2,2,South Kensington,SW7 4AX
Anchor Brewhouse,1750000,Flat / Apartment,1189,2,2,50 Shad Thames,SE1 2LY
Lock Side Way,575000,New development,1023,2,2,Royal Albert Wharf,E16 2QJ
Carlton House,730000,New development,665,2,2,London,SW15 2BS
Chiswick High Road,575000,New development,558,1,1,Chiswick,W4 5RG
Westfields,485000,Flat / Apartment,786,3,3, Barnes,SW13 0PJ
Welbeck Court,500000,Flat / Apartment,564,2,2, West Kensington,W14 8XW
Horseferry Road,1995000,House,2188,4,4,Westminster,SW1P 2EE
Barmouth Road,1250000,House,1962,5,5,Wandsworth,SW18 2DP
Melody Road,1750000,House,2266,5,5,Wandsworth,SW18 2QF
Jessica Road,1675000,House,2485,6,6,Wandsworth,SW18 2QN
Southborough Road,1700000,House,1958,4,4,South Hackney,E9 7EF
Quaker Street,799950,Penthouse,842,2,2,Shoreditch,E1 6SY
Watcombe Cottages,900000,House,836,2,2,Richmond,TW9 3BD
Roehampton Gate,2100000,House,2565,5,5,Putney,SW15 5JS
Eden Grove,599995,Flat / Apartment,926,2,2,Lower Holloway,N7 8EF
Offord Road,435000,Flat / Apartment,439,1,1,Barnsbury,N1 1LR
Lancaster Stables,1450000,Mews,1568,4,4, Belsize Park,NW3 4PH
Blackhills,3495000,House,7886,6,6,Esher,KT10 9JP
Landmark Place At Tower Bridge,2995000,New development,1446,2,2,Water Lane,EC3R 6EA
Landmark Place At Tower Bridge,2495000,New development,1163,2,2,Water Lane,EC3R 6EA
Anhalt Road,3050000,House,2599,5,5,Battersea,SW11 4NX
Melody Road,1450000,House,1669,4,4,Wandsworth,SW18 2QW
Schubert Road,1650000,House,2270,4,4,Putney,SW15 2QS
Oakside Court,500000,New development,808,2,2, Northwood,HA6 1AW
Bishops Gate,2000000,New development,1693,4,4,82-88 Fulham High Street,SW6 3LF
Wallace Road,899000,Flat / Apartment,1003,2,2,Islington,N1 2PG
"The oTTo, Hackney",995000,New development,1561,3,3, Clapton,E5 8DS
Chelsea Creek Tower,1399000,Flat / Apartment,1351,2,2, Fulham,SW6 2RQ
Banyan House,1250000,Flat / Apartment,1253,3,3, Fulham,SW6 2PT
Worple Street,800000,House,1018,2,2,Mortlake,SW14 8HE
Lime Quarter,490000,New development,695,2,2,Bow,E3 3QH
Kew Bridge Road,765000,New development,858,2,2,Brentford,TW8 0RF
Charles Street,699950,New development,756,2,2,Barnes,SW13 0NZ
Elsley Road,899950,House,922,3,3,Battersea,SW11 5LH
Kenilworth Avenue,2695000,House,3797,6,6,Wimbledon,SW19 7LW
Geraldine Road,1895000,House,2503,5,5,Wandsworth,SW18 2NS
Commodore House,1100000,Flat / Apartment,1236,2,2, Juniper Drive,SW18 1TZ
The Lansbury,6250000,Flat / Apartment,1736,3,3,19 Basil Street,SW3 1BA
Wimbledon Park Road,535000,Flat / Apartment,729,2,2,Putney,SW18 5SJ
Wimbledon Park Road,550000,Flat / Apartment,849,2,2,Putney,SW18 5SJ
Lowlands,835000,Flat / Apartment,875,2,2,2-8 Eton Avenue,NW3 3EJ
Hanway Place,1895000,Flat / Apartment,1438,2,2,Fitzrovia,W1T 1HF
Pembroke Walk,3300000,House,1889,4,4,Kensington,W8 6PQ
Tollington Way,572900,New development,721,2,2, London,N7 6RG
Tollington Way,432500,New development,538,1,1, London,N7 6RG
The Stack,620000,New development,930,2,2,Homerton,E9 6HP
The Stack,580000,New development,832,2,2,Homerton,E9 6HP
The Stack,590000,New development,840,2,2,Homerton,E9 6HP
Bagel Factory,599950,New development,724,2,2, Hackney Wick,E9 5EN
Marville Road,1225000,House,1163,3,3, Fulham,SW6 7BB
Boddington Gardens,850000,House,1389,3,3,Acton,W3 9AP
West Lodge Avenue,1375000,House,2441,5,5,Ealing Common,W3 9SF
Montague Gardens,1850000,House,2766,6,6,West Acton,W3 9PT
Ternary Place,630000,New development,904,2,2, Ealing,W5 3HJ
Eaton Rise,650000,New development,776,2,2,Ealing,W5 2HE
Baillie Apartments,512500,New development,858,2,2,Royal Albert Wharf,E16 2QJ
City Road,599950,Flat / Apartment,506,1,1,Clerkenwell,EC1V 2PY
St John Street,950000,Flat / Apartment,939,1,1,Clerkenwell,EC1V 4JY
Cedar Court,1450000,House,2028,5,5, Wimbledon,SW19 5HU
Queens Road,1795000,House,2336,5,5,Wimbledon,SW19 8LX
